Instrument,Action,Quantity,Price,Time,E/X,Position,Name,Account display name,
MES SEP26,Buy,13,7513.25,7/26/2026 11:46:32 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Sell,3,7513.25,7/26/2026 11:42:05 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,10,7513.50,7/26/2026 11:42:05 PM,Entry,10 S,Entry,Sim102,
MES SEP26,Buy,13,7514.00,7/26/2026 11:42:04 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,10,7513.50,7/26/2026 11:41:58 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,3,7513.75,7/26/2026 11:41:58 PM,Exit,10 L,Close,Sim101,
MES SEP26,Buy,13,7516.00,7/26/2026 11:34:49 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Sell,2,7516.00,7/26/2026 11:33:12 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,11,7516.25,7/26/2026 11:33:12 PM,Entry,11 S,Entry,Sim102,
MES SEP26,Buy,13,7516.50,7/26/2026 11:33:11 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,7,7509.25,7/26/2026 10:11:20 PM,Exit,-,Close,Sim101,
MES SEP26,Sell,6,7508.50,7/26/2026 10:10:15 PM,Exit,7 L,PTT-BE-Target-1,Sim101,
MES SEP26,Buy,13,7505.50,7/26/2026 10:01:00 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,13,7506.00,7/26/2026 9:57:45 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,13,7505.75,7/26/2026 9:57:44 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7506.00,7/26/2026 9:57:40 PM,Exit,-,Entry,Sim102,
MES SEP26,Sell,13,7505.75,7/26/2026 9:57:39 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,13,7505.75,7/26/2026 9:57:36 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7506.00,7/26/2026 9:57:26 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,1,7506.25,7/26/2026 9:57:23 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,12,7506.00,7/26/2026 9:57:23 PM,Entry,12 L,Entry,Sim101,
MES SEP26,Sell,13,7506.25,7/26/2026 9:57:22 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,7,7506.00,7/26/2026 9:57:21 PM,Exit,-,Close,Sim102,
MES SEP26,Sell,6,7506.25,7/26/2026 9:57:21 PM,Exit,7 L,Close,Sim102,
MES SEP26,Buy,13,7506.50,7/26/2026 9:57:18 PM,Entry,13 L,Entry,Sim102,
MES SEP26,Sell,10,7506.50,7/26/2026 9:56:34 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,3,7506.75,7/26/2026 9:56:34 PM,Exit,10 L,PTT-BE-Stop,Sim101,
MES SEP26,Buy,13,7506.00,7/26/2026 9:56:15 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,13,7506.50,7/26/2026 9:55:11 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,3,7506.00,7/26/2026 9:55:10 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Sell,10,7506.25,7/26/2026 9:55:10 PM,Entry,10 S,Entry,Sim102,
MES SEP26,Buy,6,7506.75,7/26/2026 9:55:07 PM,Exit,-,Close,Sim102,
MES SEP26,Buy,7,7506.50,7/26/2026 9:55:07 PM,Exit,6 S,Close,Sim102,
MES SEP26,Sell,13,7504.75,7/26/2026 9:51:32 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,13,7504.50,7/26/2026 9:51:00 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,1,7504.75,7/26/2026 9:51:00 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,12,7504.50,7/26/2026 9:50:59 PM,Entry,12 L,Entry,Sim101,
MES SEP26,Sell,2,7500.75,7/26/2026 7:46:45 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,11,7501.00,7/26/2026 7:46:45 PM,Exit,2 L,PTT-BE-Stop,Sim101,
MES SEP26,Buy,13,7501.25,7/26/2026 7:45:45 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,13,7501.25,7/26/2026 7:45:09 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Buy,13,7501.25,7/26/2026 7:45:02 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Sell,13,7496.75,7/26/2026 7:33:58 PM,Exit,-,Close,Sim101,
MES SEP26,Buy,13,7497.50,7/26/2026 7:32:13 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7497.75,7/26/2026 7:31:34 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7498.00,7/26/2026 7:31:32 PM,Entry,13 L,Entry,Sim101,
MES SEP26,Buy,6,7501.25,7/26/2026 7:28:14 PM,Exit,-,PTT-BE-Stop,Sim102,
MES SEP26,Buy,20,7501.00,7/26/2026 7:28:14 PM,Exit,6 S,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7501.50,7/26/2026 7:26:27 PM,Entry,26 S,PTT-BE-Stop,Sim102,
MES SEP26,Sell,13,7501.50,7/26/2026 7:26:27 PM,Exit,-,PTT-BE-Stop,Sim101,
MES SEP26,Sell,13,7501.25,7/26/2026 7:25:53 PM,Entry,13 S,Entry,Sim102,
MES SEP26,Buy,13,7501.50,7/26/2026 7:25:52 PM,Entry,13 L,Entry,Sim101,
